gene_id,3-9-mock1-13_S20,3-9-mock2-14_S1,3-9-wt1-15_S2,3-9-wt2-16_S16,CoV002-CoV2-1-indexG4_S4,CoV002-CoV2-2-indexG5_S5,CoV002-CoV2-3-indexG6_S6,CoV002-mock1-indexG1_S1,CoV002-mock2-indexG2_S2,CoV002-mock3-indexG3_S3,SARS004-CoV2-1_S4,SARS004-CoV2-2_S5,SARS004-CoV2-3_S6,SARS004-mock-1_S1,SARS004-mock-2_S2,SARS004-mock-3_S3,svRNA184-RSV-1-indexF4_S16,svRNA184-RSV-3-indexH9_S18,svRNA184-mock-1-indexF1_S13,svRNA184-mock-3-indexF3_S15
ENSG00000268738.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.10700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000253138.5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000251345.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.10858,728,1500,1749,274,2408,2885,3650,1255,1470,2773,7000,2592,2325,3486,2263,2834,533,754,1949,2363
ENSG00000277295.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169933.12,0,3,3,0,6,10,11,6,4,4,21,3,4,0,14,12,0,2,3,0
ENSG00000131771.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ENSG00000270431.1,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0
ENSG00000256288.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240095.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186452.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.29900,196,450,473,128,812,1009,1391,368,526,946,992,307,376,657,418,365,183,278,896,919
MSTRG.29901,9,39,30,6,57,63,114,32,45,58,5080,2305,2118,4723,3970,4328,18,28,84,74
MSTRG.29902,249,645,326,100,1154,1587,1999,611,776,1481,505,165,150,254,181,181,284,544,1207,1435
MSTRG.29903,512,1040,1177,261,1546,2019,3073,860,1092,2067,1925,600,671,1050,600,690,189,423,1179,916
MSTRG.29904,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0
ENSG00000105954.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.29906,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0
MSTRG.29907,5,18,11,0,21,16,29,0,15,20,10,4,0,0,0,0,0,10,29,26
MSTRG.29908,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280228.1,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,2,0,0,0,0
ENSG00000205927.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000263529.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213182.3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000249021.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.30878,0,1,1,0,0,2,5,3,4,3,7,0,0,6,0,0,0,4,0,0
MSTRG.30879,458,1007,1205,321,1958,2382,3246,1084,1529,2730,6032,1863,1731,3173,1961,2213,192,406,1298,1458
MSTRG.24422,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
MSTRG.30872,187,493,286,115,787,1035,1654,390,523,971,1625,576,500,1124,570,580,261,504,1465,1282
MSTRG.30873,288,609,886,159,1016,1283,1617,630,763,1251,558,132,178,341,199,202,132,191,566,772
MSTRG.30870,69,169,172,40,259,357,629,117,152,359,216,85,80,223,117,98,30,41,239,167
MSTRG.30871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.30876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.30877,0,0,0,0,0,0,0,0,0,5,26,9,7,29,15,0,0,0,14,10
MSTRG.30874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.30875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250411.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000252016.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000253733.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000260519.1,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0
MSTRG.19369,5,40,82,22,40,49,100,14,19,66,212,62,74,92,80,72,24,65,154,159
ENSG00000258483.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.616,48,165,161,40,267,321,418,114,160,298,562,205,177,369,217,259,37,99,225,242
ENSG00000252545.1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000214414.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.10704,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5
ENSG00000269964.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000249092.1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0
ENSG00000243720.1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000255259.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250878.3,0,2,0,0,2,0,2,0,3,2,11,5,3,20,7,6,3,0,11,0
ENSG00000259703.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000248565.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.21803,339,653,593,159,1347,1759,2077,731,919,1628,5720,1898,1855,3005,2022,2119,394,577,1245,1331
ENSG00000226813.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.31944,88,238,329,67,364,491,705,197,256,573,2180,728,599,1056,788,901,78,151,494,561
ENSG00000250138.4,3,0,0,0,3,0,0,0,3,5,0,0,0,0,0,2,3,0,0,0
ENSG00000281142.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000249744.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000248430.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180105.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282535.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224585.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215317.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.35259,288,525,101,136,1199,1644,1742,657,892,1696,153,28,45,62,30,47,415,643,1204,1768
ENSG00000211638.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.7523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.5319,1513,3123,2292,487,5080,6857,8743,3183,4062,6928,5659,2075,2077,3677,2177,2346,962,1516,5664,6757
ENSG00000255075.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000260918.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279097.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274761.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204655.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000253110.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250673.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257657.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000253985.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000242963.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.5310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.5311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.312,0,0,1,0,0,2,0,0,0,0,1,0,1,3,1,0,0,0,0,0
ENSG00000253100.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.5312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.31053,882,2120,2555,416,4050,5447,6914,2244,2753,4698,8540,2619,2549,4008,2848,3145,712,1014,3226,3190
MSTRG.31052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.31051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.31050,15,18,11,0,30,37,52,24,20,43,20,0,10,16,6,0,0,4,0,0
MSTRG.31057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.31056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.31055,637,1381,1493,277,2963,3747,4820,1477,1745,3236,5599,2013,1800,3038,1866,2333,283,322,1448,1391
MSTRG.31054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000261400.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.35255,949,1610,1955,468,3766,4716,5212,1924,2564,4322,10196,3386,3876,4403,3208,3800,1626,2698,5925,7135
MSTRG.321,0,0,0,0,0,2,0,0,0,0,22,2,3,5,9,6,0,0,0,4
MSTRG.31058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.327,237,537,391,90,1245,1503,1801,741,935,1460,1444,448,508,608,407,369,322,419,999,1173
MSTRG.326,19,21,26,11,59,49,84,43,38,104,174,72,109,97,100,65,31,30,97,58
MSTRG.325,0,0,0,0,0,0,0,0,0,0,7,5,16,21,12,20,0,0,0,0
MSTRG.5315,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0
ENSG00000242769.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.5316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
ENSG00000229536.1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
MSTRG.5317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229477.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000155495.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000258997.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274013.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000221313.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224599.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241369.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000222609.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264667.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000183549.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.32903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214487.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228050.1,0,0,0,0,0,0,0,0,0,0,7,0,2,0,1,7,0,0,0,0
ENSG00000182348.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229268.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000221374.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228958.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.34629,0,3,11,0,4,0,0,0,6,9,0,0,10,5,14,10,15,18,34,36
MSTRG.34628,3,0,0,0,5,6,2,0,3,2,0,0,0,2,0,4,3,0,0,0
ENSG00000250850.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000122852.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234423.1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ENSG00000274468.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.34622,0,0,0,0,2,2,2,1,2,2,2,2,0,3,0,2,0,2,2,6
MSTRG.34621,383,889,1089,214,1043,1538,2252,572,821,1615,3261,1037,1121,1539,1069,1185,437,843,1813,2249
MSTRG.34620,538,1083,968,228,1758,2074,2599,997,1359,2167,2649,971,989,1709,1074,1297,174,220,1116,991
MSTRG.34627,0,0,5,0,0,0,0,0,3,0,7,0,0,11,0,0,0,0,0,13
MSTRG.34626,47,75,42,19,130,153,192,42,106,131,234,95,81,161,110,87,8,62,137,264
MSTRG.34625,0,9,15,4,14,28,37,12,15,33,45,19,8,19,27,11,10,22,113,37
MSTRG.34624,181,405,408,53,558,641,1087,237,407,738,377,120,47,272,82,152,111,266,843,871
ENSG00000232211.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.13078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.4958,0,5,0,0,3,4,0,0,4,3,0,0,0,0,0,0,0,0,5,0
ENSG00000224702.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180872.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000211912.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237948.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
